school_name,school_grade
충주중학교,중등
충일중학교,중등
미덕중학교,중등
탄금중학교,중등
노은중학교,중등
산척중학교,중등
수안보중학교,중등
신니중학교,중등
신명중학교,중등
앙성중학교,중등
주덕중학교,중등
중앙탑중학교,중등
중원중학교,중등
충일중학교,중등
충주대소원중학교,중등
북여자중학교,중등
충주여자중학교,중등
충주예성여자중학교,중등
칠금중학교,중등
충주중앙중학교,중등
충주고등학교,고등
충주여자고등학교,고등
충주중산고등학교,고등
충주대원고등학교,고등
국원고등학교,고등
충주예성여자고등학교,고등
충원고등학교,고등
충주공업고등학교,고등
충주상업고등학교,고등
한림디자인고등학교,고등
가흥초등학교,초등
국원초등학교,초등
금가초등학교,초등
노은초등학교,초등
단월초등학교,초등
달천초등학교,초등
대미초등학교,초등
덕신초등학교,초등
동락초등학교,초등
동량초등학교,초등
목행초등학교,초등
산척초등학교,초등
세성초등학교,초등
소태초등학교,초등
수안보초등학교,초등
수회초등학교,초등
앙성초등학교,초등
엄정초등학교,초등
연수초등학교,초등
오석초등학교,초등
용원초등학교,초등
주덕초등학교,초등
충주교현초등학교,초등
충주금릉초등학교,초등
충주남산초등학교,초등
충주남한강초등학교,초등
충주대림초등학교,초등
충주대소원초등학교,초등
충주삼원초등학교,초등
충주성남초등학교,초등
충주예성초등학교,초등
충주용산초등학교,초등
충주중앙초등학교,초등
충주중앙탑초등학교,초등
칠금초등학교,초등
탄금초등학교,초등
